Wavelength,AUS1,ICE1,KUW1,NIG1,SAH1,OAH1,SAN1
467,0.015431374,0.011109729,0.001751335,0.00607016,0.004258789,0.024148882,0.008709827
468,0.01537234,0.011067072,0.00174517,0.00606188,0.004244691,0.024061772,0.008674065
469,0.015311971,0.011025168,0.00174017,0.006055088,0.004228505,0.023974521,0.008661978
470,0.015259097,0.01099136,0.001736986,0.006048555,0.004210347,0.023892137,0.008664136
471,0.015216728,0.010961533,0.001733239,0.006040785,0.004190332,0.023810884,0.008664139
472,0.015184309,0.010936372,0.001727589,0.006028301,0.004168851,0.023731002,0.008665618
473,0.01516228,0.01092039,0.001722663,0.006012284,0.004151482,0.023656373,0.008666783
474,0.015148007,0.01090565,0.00171838,0.00599559,0.004137792,0.023590485,0.00865079
475,0.015143646,0.01088799,0.00170956,0.005978303,0.004125316,0.023522135,0.008620027
476,0.015141395,0.010872804,0.001701703,0.005960559,0.004113702,0.023455465,0.008575626
477,0.015141771,0.01086198,0.001690788,0.00594295,0.004102812,0.023389655,0.008514457
478,0.015139036,0.010849988,0.001675667,0.005924165,0.004087425,0.023322615,0.008450199
479,0.015131858,0.010839817,0.001658881,0.00589973,0.004069921,0.023247539,0.008397239
480,0.015110526,0.010832118,0.001646272,0.00587228,0.004053238,0.023171916,0.008355057
481,0.015083437,0.010822925,0.001630671,0.005846565,0.004040136,0.02308776,0.0083261
482,0.015046916,0.010808543,0.001617853,0.005823671,0.004029222,0.022992671,0.008309507
483,0.015005345,0.010791049,0.001610127,0.005805419,0.004022792,0.022891612,0.008290337
484,0.014956827,0.010766263,0.001604303,0.005794318,0.004015993,0.02279014,0.008265185
485,0.01490903,0.010735736,0.001599555,0.005785818,0.004006722,0.022686391,0.008231017
486,0.014856547,0.010703917,0.00160389,0.005773589,0.003994052,0.022587458,0.008196387
487,0.014803052,0.010671629,0.001615424,0.005757787,0.003979187,0.02250032,0.008162198
488,0.014748206,0.010641277,0.001626755,0.005732982,0.00396204,0.022415011,0.008128401
489,0.014693993,0.010621277,0.001638337,0.005701552,0.003947751,0.022331253,0.008092182
490,0.014638296,0.010608909,0.00164443,0.005666953,0.00393619,0.022252389,0.008054636
491,0.014586164,0.010600249,0.001638341,0.005632362,0.003925351,0.022176739,0.008008779
492,0.01454105,0.010596968,0.001616622,0.005597728,0.00391542,0.022095326,0.007956335
493,0.014499224,0.010595175,0.001589333,0.005569199,0.003905595,0.022019954,0.007914375
494,0.014460109,0.010585077,0.001559285,0.005543309,0.00389284,0.021947542,0.007870755
495,0.014424741,0.010562498,0.001535318,0.005518247,0.003879341,0.021871321,0.00783561
496,0.014385341,0.010526358,0.001519437,0.005496103,0.00386783,0.021789031,0.007808175
497,0.014334301,0.01047689,0.001514641,0.005476644,0.003858603,0.021705155,0.007788142
498,0.014277837,0.010415339,0.001516385,0.005457462,0.003853471,0.021611416,0.007758784
499,0.014218976,0.010352888,0.001519439,0.005438669,0.003852519,0.021507488,0.007739728
500,0.014153137,0.010300212,0.001516565,0.005422867,0.003852668,0.021400653,0.007717908
501,0.014089063,0.010260729,0.001507373,0.005405565,0.003850768,0.021291952,0.007693204
502,0.014032149,0.010234106,0.00149265,0.005387215,0.003844999,0.021183703,0.007658259
503,0.013975081,0.010222042,0.001469051,0.005366779,0.00383229,0.021077245,0.007618865
504,0.013914163,0.010215518,0.001442922,0.005344948,0.003814814,0.020974926,0.00757339
505,0.0138558,0.010205601,0.001418756,0.005318351,0.003795708,0.02087082,0.007524502
506,0.013797042,0.01019176,0.001399507,0.005290756,0.003776559,0.02076781,0.007474266
507,0.013734678,0.010172402,0.001386244,0.00526097,0.00375907,0.020664963,0.007435572
508,0.01367821,0.010145538,0.001382923,0.005233757,0.00374559,0.02056546,0.007408805
509,0.013628885,0.010115337,0.001383771,0.00520863,0.003733139,0.020469478,0.007381193
510,0.013584835,0.010087968,0.001387017,0.00518758,0.003718972,0.020380478,0.007361136
511,0.013541991,0.010065676,0.001390315,0.005168014,0.003704395,0.020295613,0.007348626
512,0.013501904,0.010048979,0.001388953,0.005151197,0.003688167,0.020209613,0.007333902
513,0.013455542,0.010042156,0.001383651,0.005129809,0.003671117,0.020118739,0.007313623
514,0.013403334,0.010041627,0.001379982,0.005106851,0.003655887,0.020021481,0.007297814
515,0.013344347,0.01004203,0.001379034,0.005083596,0.00364447,0.019914861,0.007272076
516,0.013283287,0.010035478,0.001378927,0.005061287,0.003634918,0.019796002,0.007228807
517,0.013219596,0.010020887,0.001382762,0.005038588,0.003627557,0.019670187,0.007175093
518,0.013157775,0.00998921,0.001387644,0.005018758,0.00361683,0.01953928,0.007119517
519,0.013098083,0.0099433,0.001387368,0.004997522,0.003599715,0.01940491,0.007060145
520,0.013036992,0.009888202,0.001376849,0.004970214,0.00357531,0.019269158,0.007012219
521,0.012971305,0.009830349,0.001361673,0.004937656,0.003545309,0.019139102,0.006988576
522,0.012903009,0.009772597,0.001341477,0.004901577,0.003512874,0.01901117,0.006981455
523,0.012831898,0.009726349,0.001319001,0.004866279,0.003485341,0.018885061,0.00697991
524,0.012755773,0.009693892,0.001298605,0.004833494,0.003466629,0.018760285,0.006983597
525,0.012682728,0.009668669,0.001286368,0.004807481,0.003457534,0.018640264,0.006983462
526,0.012617701,0.009651158,0.001277649,0.004788336,0.003455486,0.018521296,0.006972117
527,0.012556481,0.009640136,0.001273995,0.004775156,0.003455591,0.018406085,0.006952484
528,0.012497892,0.009627035,0.001271349,0.004761834,0.003454152,0.018294877,0.006927941
529,0.012442232,0.009605825,0.001269779,0.004750245,0.00344863,0.018181047,0.006891705
530,0.012381766,0.009582793,0.001266323,0.004738249,0.003437395,0.018057185,0.006843712
531,0.012304805,0.009551653,0.001262466,0.004719668,0.003421816,0.01792001,0.00678592
532,0.012215555,0.009510915,0.001254997,0.00469386,0.003402947,0.017769834,0.006716629
533,0.012114653,0.009464197,0.001248593,0.004663302,0.003379511,0.017608096,0.006636272
534,0.012004883,0.009415011,0.00123944,0.004626111,0.00335281,0.017448228,0.006553202
535,0.011892696,0.009359522,0.001230931,0.004584443,0.003325499,0.017293625,0.00647049
536,0.011793619,0.00930271,0.001216336,0.004547429,0.003298809,0.0171449,0.006387698
537,0.011704326,0.00924406,0.001196278,0.004515274,0.003275786,0.016998537,0.006317493
538,0.011621578,0.009176629,0.001167925,0.004485998,0.003260703,0.016850313,0.006265322
539,0.011543053,0.009096929,0.001137063,0.004457942,0.003253737,0.016684458,0.006234171
540,0.011460307,0.009006019,0.001101011,0.004428763,0.003249911,0.016502699,0.006223605
541,0.011362206,0.008901788,0.001074946,0.004395112,0.003248622,0.016313284,0.006225993
542,0.011249325,0.008787042,0.00106132,0.004357203,0.003247256,0.016120251,0.006226729
543,0.011128897,0.008673733,0.001061979,0.004319978,0.003241883,0.015926656,0.00622077
544,0.011000394,0.008568609,0.001070419,0.004288854,0.003227423,0.015745037,0.006199678
545,0.010870134,0.008474267,0.001086187,0.004266816,0.003209257,0.015572413,0.006165838
546,0.010746213,0.008390491,0.001097919,0.004250839,0.003186835,0.015398557,0.006133237
547,0.010630777,0.008314992,0.001101686,0.004241118,0.003161277,0.015215139,0.006100138
548,0.010516901,0.008237084,0.001095785,0.004234159,0.003134111,0.015019968,0.00606524
549,0.010405292,0.008150024,0.00108328,0.00422323,0.003112644,0.014805651,0.006034923
550,0.010297331,0.008049178,0.001064136,0.004203905,0.003094227,0.014571127,0.005997262
551,0.010182275,0.007943699,0.001040057,0.004179745,0.003079593,0.014320734,0.005945068
552,0.010055686,0.007831191,0.001017869,0.004153714,0.003066575,0.014069402,0.005886846
553,0.009919812,0.007720006,0.000997584,0.004122948,0.003054259,0.013819096,0.005830995
554,0.009776476,0.007615578,0.000980767,0.004091477,0.003038674,0.013577358,0.005768969
555,0.009622067,0.00751672,0.000968103,0.004062058,0.003021097,0.013352555,0.005712403
556,0.009467566,0.007408708,0.000960027,0.004033604,0.00299953,0.013146425,0.005669159
557,0.009321447,0.007301561,0.000950738,0.004000315,0.002976836,0.012947375,0.005639719
558,0.009187441,0.007190949,0.000941966,0.003968799,0.002955174,0.012756154,0.005616998
559,0.009063669,0.007073007,0.000934396,0.003939251,0.002935803,0.012566889,0.005608499
560,0.008947438,0.006952154,0.000927713,0.003914508,0.002916326,0.012369923,0.005614403
561,0.008832512,0.006835504,0.000924013,0.003893776,0.002900125,0.012163162,0.005617664
